1	108
2	563
3	261
4	648
5	234
6	436
7	802
8	580
9	813
10	56
11	748
12	802
13	855
14	48
15	418
16	6
17	509
18	548
19	341
20	362
21	926
22	595
23	298
24	555
25	708
26	99
27	907
28	57
29	390
30	352
31	525
32	186
33	40
34	834
35	391
36	154
37	458
38	773
39	122
40	189
41	662
42	747
43	757
44	482
45	669
46	404
47	478
48	498
49	67
50	930
51	345
52	267
53	145
54	930
55	577
56	513
57	266
58	706
59	940
60	135
61	530
62	745
63	191
64	461
65	531
66	563
67	763
68	22
69	657
70	265
71	548
72	736
73	427
74	153
75	700
76	179
77	839
78	817
79	886
80	305
81	621
82	410
83	990
84	461
85	8
86	259
87	41
88	110
89	257
90	878
91	888
92	752
93	833
94	987
95	660
96	917
97	556
98	296
99	951
100	107
101	642
102	457
103	841
104	803
105	382
106	609
107	841
108	993
109	230
110	399
111	675
112	450
113	821
114	636
115	515
116	120
117	756
118	731
119	453
120	273
121	523
122	653
123	765
124	779
125	377
126	796
127	903
128	440
129	494
130	784
131	624
132	543
133	866
134	780
135	664
136	165
137	570
138	187
139	79
140	400
141	419
142	49
143	880
144	859
145	204
146	439
147	932
148	198
149	473
150	540
151	162
152	826
153	843
154	679
155	585
156	990
157	693
158	62
159	427
160	586
161	706
162	401
163	499
164	447
165	775
166	132
167	585
168	42
169	973
170	351
171	551
172	569
173	652
174	54
175	855
176	474
177	773
178	906
179	576
180	938
181	865
182	706
183	967
184	954
185	622
186	798
187	700
188	188
189	196
190	674
191	472
192	508
193	761
194	493
195	695
196	18
197	550
198	434
199	85
200	72
201	855
202	891
203	226
204	123
205	989
206	594
207	174
208	790
209	824
210	111
211	217
212	788
213	486
214	490
215	722
216	1000
217	434
218	545
219	825
220	978
221	433
222	398
223	847
224	299
225	879
226	43
227	808
228	159
229	360
230	837
231	925
232	339
233	822
234	504
235	84
236	974
237	481
238	845
239	966
240	29
241	624
242	911
243	364
244	85
245	458
246	685
247	22
248	272
249	772
250	695
251	584
252	5
253	609
254	107
255	640
256	458
257	45
258	927
259	244
260	946
261	786
262	16
263	430
264	988
265	186
266	879
267	967
268	983
269	406
270	748
271	520
272	590
273	580
274	796
275	354
276	523
277	34
278	762
279	842
280	194
281	21
282	537
283	388
284	665
285	254
286	921
287	731
288	715
289	865
290	626
291	930
292	554
293	601
294	20
295	244
296	609
297	481
298	376
299	900
300	580
301	719
302	40
303	866
304	24
305	176
306	994
307	425
308	813
309	754
